dt,AverageTemperature,State,Country
2000,0.46086571428569556,District Of Columbia,United States
2001,-0.9974615584415716,District Of Columbia,United States
2002,-1.262225194805204,District Of Columbia,United States
2003,0.49686571428570403,District Of Columbia,United States
2004,-0.9788070129870263,District Of Columbia,United States
2005,-0.5119524675324811,District Of Columbia,United States
2006,-1.3612251948052005,District Of Columbia,United States
2007,-0.6896615584415642,District Of Columbia,United States
2008,-0.22755246753248315,District Of Columbia,United States
2009,-0.18631610389611097,District Of Columbia,United States
2010,-1.52420701298702,District Of Columbia,United States
2011,-2.3153888311688533,District Of Columbia,United States
2012,-2.5086433766233824,District Of Columbia,United States
2013,-2.5086433766233824,Florida,United States
1950,0.3817298701298739,Florida,United States
1951,0.20860259740258869,Florida,United States
1952,0.6244025974025931,Florida,United States
1953,-0.18461558441558168,Florida,United States
1954,0.6556571428571374,Florida,United States
1955,0.24182077922077383,Florida,United States
1956,0.17800259740258184,Florida,United States
1957,-0.1883792207792112,Florida,United States
1958,1.001093506493504,Florida,United States
1959,-0.2721610389610447,Florida,United States
1960,1.2280571428571392,Florida,United States
1961,0.17211168831168777,Florida,United States
1962,0.6749662337662272,Florida,United States
1963,1.18207532467531,Florida,United States
1964,0.2650571428571311,Florida,United States
1965,0.20123896103895333,Florida,United States
1966,1.213984415584406,Florida,United States
1967,0.48056623376623975,Florida,United States
1968,1.8772025974025865,Florida,United States
1969,1.4882389610389595,Florida,United States
1970,0.6260389610389581,Florida,United States
1971,0.008475324675316642,Florida,United States
1972,-0.01394285714286525,Florida,United States
1973,0.22791168831167852,Florida,United States
1974,0.4437480519480488,Florida,United States
1975,-0.4832519480519579,Florida,United States
1976,1.1608025974026077,Florida,United States
1977,0.290748051948043,Florida,United States
1978,0.1776753246753202,Florida,United States
1979,0.23674805194804094,Florida,United States
1980,0.4871116883116855,Florida,United States
1981,0.3954753246753171,Florida,United States
1982,-1.22027012987013,Florida,United States
1983,0.9806389610389488,Florida,United States
1984,0.2794571428571402,Florida,United States
1985,-0.7993974025973927,Florida,United States
1986,-1.17919740259741,Florida,United States
1987,0.28174805194804264,Florida,United States
1988,0.6430571428571454,Florida,United States
1989,0.16834805194805824,Florida,United States
1990,-1.5596519480519646,Florida,United States
1991,-0.8450519480519461,Florida,United States
1992,0.2820753246753327,Florida,United States
1993,0.7729844155844035,Florida,United States
1994,-1.0973792207792314,Florida,United States
1995,-0.3237064935065064,Florida,United States
1996,0.5681116883116886,Florida,United States
1997,-0.5987792207792211,Florida,United States
1998,-1.851088311688315,Florida,United States
1999,-0.46721558441558386,Florida,United States
2000,-0.058779220779229036,Florida,United States
2001,-0.9483064935064931,Florida,United States
2002,-0.9190155844156038,Florida,United States
2003,-1.0386337662337723,Florida,United States
2004,-0.565397402597398,Florida,United States
2005,-0.23092467532467253,Florida,United States
2006,-0.7259246753246771,Florida,United States
2007,-1.0545064935064943,Florida,United States
2008,-0.37623376623376714,Florida,United States
